n03240683,'drilling platform,'0.7398478
n04606251,'wreck,'0.05609423
n02687172,'aircraft carrier,'0.046440687
n09428293,'seashore,'0.041038122
n09332890,'lakeside,'0.016944071
n09399592,'promontory,'0.015973749
n02814860,'beacon,'0.012969955
n09246464,'cliff,'0.012060079
n02894605,'breakwater,'0.008578841
n03126707,'crane,'0.006444628
n03947888,'pirate,'0.005833976
n02980441,'castle,'0.004767816
n03216828,'dock,'0.0042466987
n03933933,'pier,'0.003230445
n03095699,'container ship,'0.002215112
n02859443,'boathouse,'0.0019061007
n04347754,'submarine,'0.0012557503
n03662601,'lifeboat,'0.0011773468
n03160309,'dam,'0.00090429286
n03673027,'liner,'0.0008983267
n04147183,'schooner,'0.0008781402
n02999410,'chain,'0.0007223543
n06359193,'web site,'0.0006855026
n03874293,'paddlewheel,'0.0006391248
n02704792,'amphibian,'0.0006168597
n09468604,'valley,'0.00061268586
n09421951,'sandbar,'0.00058712764
n03344393,'fireboat,'0.0004551573
n02981792,'catamaran,'0.0004416434
n09256479,'coral reef,'0.0004047983
n02793495,'barn,'0.00033317477
n04326547,'stone wall,'0.00029221427
n03598930,'jigsaw puzzle,'0.0002734205
n03478589,'half track,'0.00024865704
n09193705,'alp,'0.00023676366
n11879895,'rapeseed,'0.00022366409
n03877845,'palace,'0.00022038537
n03496892,'harvester,'0.00021698391
n04465501,'tractor,'0.0002147681
n01698640,'American alligator,'0.00020969119
n03388043,'fountain,'0.00020282375
n04311004,'steel arch bridge,'0.00019957608
n02692877,'airship,'0.00019867349
n03532672,'hook,'0.00019375111
n03028079,'church,'0.00018523882
n01697457,'African crocodile,'0.0001836478
n03733281,'maze,'0.00017155103
n03930313,'picket fence,'0.00016703729
n09472597,'volcano,'0.00016569156
n04366367,'suspension bridge,'0.00016465317
n03967562,'plow,'0.00015734287
n03773504,'missile,'0.00015698255
n04273569,'speedboat,'0.00014616581
n02317335,'starfish,'0.00014105618
n04483307,'trimaran,'0.00014042653
n03743016,'megalith,'0.00012668116
n04141076,'sax,'0.00011920415
n07248320,'book jacket,'0.00011613359
n04612504,'yawl,'0.00011243361
n02066245,'grey whale,'0.00010582781
n02708093,'analog clock,'0.00010515737
n04485082,'tripod,'9.573209e-05
n03804744,'nail,'9.254722e-05
n02825657,'bell cote,'8.890389e-05
n03838899,'oboe,'8.752774e-05
n03447447,'gondola,'8.5577245e-05
n03976657,'pole,'8.15968e-05
n03291819,'envelope,'8.022489e-05
n03697007,'lumbermill,'7.39854e-05
n03888257,'parachute,'7.161357e-05
n02071294,'killer whale,'7.113872e-05
n04008634,'projectile,'7.106921e-05
n04552348,'warplane,'6.6397995e-05
n02950826,'cannon,'6.577581e-05
n04044716,'radio telescope,'6.438578e-05
n04204347,'shopping cart,'6.4231404e-05
n03627232,'knot,'6.389471e-05
n10565667,'scuba diver,'6.289823e-05
n03874599,'padlock,'6.209393e-05
n07802026,'hay,'5.8450187e-05
n04266014,'space shuttle,'5.786847e-05
n01494475,'hammerhead,'5.727501e-05
n04153751,'screw,'5.6927092e-05
n03065424,'coil,'5.6803718e-05
n04592741,'wing,'5.462114e-05
n02841315,'binoculars,'5.104659e-05
n03355925,'flagpole,'4.8281847e-05
n04389033,'tank,'4.7829017e-05
n04371774,'swing,'4.7239744e-05
n10148035,'groom,'4.4782966e-05
n02134084,'ice bear,'4.303476e-05
n04507155,'umbrella,'4.283809e-05
n02667093,'abaya,'4.1244082e-05
n04604644,'worm fence,'4.0437983e-05
n03384352,'forklift,'3.7914713e-05
n02782093,'balloon,'3.7247282e-05
n04417672,'thatch,'3.7101818e-05
n01751748,'sea snake,'3.693357e-05
n03873416,'paddle,'3.6680587e-05
n02951358,'canoe,'3.665828e-05
n02843684,'birdhouse,'3.6144917e-05
n03042490,'cliff dwelling,'3.610757e-05
n02788148,'bannister,'3.565044e-05
n04532670,'viaduct,'3.5520665e-05
n02807133,'bathing cap,'3.312485e-05
n02077923,'sea lion,'3.1562377e-05
n09288635,'geyser,'3.0955474e-05
n04428191,'thresher,'3.0646494e-05
n03000684,'chain saw,'2.9466797e-05
n03891251,'park bench,'2.8841187e-05
n01665541,'leatherback turtle,'2.8753797e-05
n03781244,'monastery,'2.8604765e-05
n02444819,'otter,'2.833197e-05
n03837869,'obelisk,'2.8233544e-05
n04346328,'stupa,'2.7175896e-05
n04005630,'prison,'2.6885018e-05
n03457902,'greenhouse,'2.6751539e-05
n01664065,'loggerhead,'2.6711314e-05
n04067472,'reel,'2.6687603e-05
n02093859,'Kerry blue terrier,'2.5602441e-05
